,next_victim_is_yellow,condition_within_Ss,next_victim_triaged_distance,sat_tendency,remain_yellow_victim,time_elapsed_minutes,cur_room_yellow_victims,cur_room_green_victims,next_room_has_yellow_victim,condition_between_Ss,trial_id
0,True,hard mission Falcon,38.236716496074465,4.4,11.0,-1.4673166666666666,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
1,True,hard mission Falcon,18.828170383762732,4.4,11.0,0.0017,0.0,0.0,True,trained about triage tradeoff,trial_id_000011
2,True,hard mission Falcon,9.024718223705172,4.4,11.0,0.0987,1.0,0.0,False,trained about triage tradeoff,trial_id_000011
3,True,hard mission Falcon,2.8652558696804387,4.4,10.0,0.3833,1.0,0.0,False,trained about triage tradeoff,trial_id_000011
4,True,hard mission Falcon,12.428808793467331,4.4,10.0,0.52525,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
5,True,hard mission Falcon,12.539580783908415,4.4,10.0,0.5702666666666667,0.0,0.0,True,trained about triage tradeoff,trial_id_000011
6,True,hard mission Falcon,3.539491156535988,4.4,10.0,0.6281833333333333,1.0,1.0,False,trained about triage tradeoff,trial_id_000011
7,True,hard mission Falcon,3.1994181629067886,4.4,9.0,0.8783666666666666,1.0,1.0,False,trained about triage tradeoff,trial_id_000011
8,True,hard mission Falcon,7.846714088341979,4.4,9.0,0.9175,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
9,True,hard mission Falcon,7.049141088807315,4.4,9.0,1.0299,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
10,True,hard mission Falcon,5.989297314271045,4.4,9.0,1.0486,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
11,True,hard mission Falcon,6.188302296413281,4.4,9.0,1.1217666666666666,2.0,1.0,False,trained about triage tradeoff,trial_id_000011
12,True,hard mission Falcon,3.0867100176333007,4.4,8.0,1.5147333333333333,2.0,1.0,False,trained about triage tradeoff,trial_id_000011
13,True,hard mission Falcon,1.6399815375711104,4.4,7.0,1.8570166666666668,2.0,1.0,False,trained about triage tradeoff,trial_id_000011
14,True,hard mission Falcon,16.206609828637532,4.4,7.0,1.9321,0.0,0.0,True,trained about triage tradeoff,trial_id_000011
15,True,hard mission Falcon,6.556513289409278,4.4,7.0,2.0326333333333335,1.0,1.0,False,trained about triage tradeoff,trial_id_000011
16,True,hard mission Falcon,2.526411907983361,4.4,6.0,2.3235,1.0,1.0,False,trained about triage tradeoff,trial_id_000011
17,True,hard mission Falcon,42.413908986014675,4.4,6.0,2.3762833333333333,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
18,True,hard mission Falcon,23.277520095930768,4.4,6.0,2.5023833333333334,2.0,1.0,False,trained about triage tradeoff,trial_id_000011
19,True,hard mission Falcon,37.14067191493594,4.4,6.0,2.5705,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
20,True,hard mission Falcon,31.402870799173794,4.4,6.0,2.6096333333333335,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
21,True,hard mission Falcon,10.660398130884182,4.4,6.0,2.684633333333333,0.0,0.0,True,trained about triage tradeoff,trial_id_000011
22,True,hard mission Falcon,6.521129732647173,4.4,6.0,2.7288833333333335,1.0,2.0,False,trained about triage tradeoff,trial_id_000011
23,True,hard mission Falcon,2.289887698230507,4.4,5.0,3.0337,1.0,2.0,False,trained about triage tradeoff,trial_id_000011
24,True,hard mission Falcon,42.88337718374569,4.4,5.0,3.0885833333333332,0.0,0.0,True,trained about triage tradeoff,trial_id_000011
25,True,hard mission Falcon,6.679011257272576,4.4,5.0,3.25315,1.0,2.0,False,trained about triage tradeoff,trial_id_000011
26,True,hard mission Falcon,2.2054001080752483,4.4,4.0,3.5373,1.0,2.0,False,trained about triage tradeoff,trial_id_000011
27,True,hard mission Falcon,8.83482874598397,4.4,4.0,3.5938833333333333,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
28,True,hard mission Falcon,6.217121181546271,4.4,4.0,3.6075833333333334,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
29,True,hard mission Falcon,11.2465766033126,4.4,4.0,3.665566666666667,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
30,True,hard mission Falcon,10.093947777619581,4.4,4.0,3.7319833333333334,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
31,True,hard mission Falcon,5.1590242910237345,4.4,4.0,3.7779333333333334,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
32,True,hard mission Falcon,8.768510135404586,4.4,4.0,3.8238,0.0,0.0,False,trained about triage tradeoff,trial_id_000011
33,True,hard mission Falcon,5.527430995297847,4.4,4.0,3.886833333333333,2.0,2.0,False,trained about triage tradeoff,trial_id_000011
34,True,hard mission Falcon,2.4166294478585644,4.4,3.0,4.145033333333333,2.0,2.0,False,trained about triage tradeoff,trial_id_000011
35,True,hard mission Falcon,2.794051648637211,4.4,2.0,4.4904,2.0,2.0,False,trained about triage tradeoff,trial_id_000011
36,False,hard mission Falcon,1.3028110982806322,4.4,2.0,4.6433333333333335,2.0,2.0,False,trained about triage tradeoff,trial_id_000011
